country,place,kind,lat,lon,score,on printed map,printed rank,archetypes,whs,sources
Afghanistan,Bāzār-e Yakāwlang,settlement,34.7353,66.9738,100,yes,1.0,A9,1,"cuisine, ghsl-ucdb, unesco-whs, wdpa, wikidata"
Afghanistan,Shahrak,settlement,34.1074,64.3052,88,yes,4.0,,1,"cuisine, ghsl-ucdb, unesco-whs, wikidata"
Afghanistan,Mazār-e Sharīf,settlement,36.709,67.1109,72,yes,2.0,A10,0,"ghsl-ucdb, wikidata"
Afghanistan,Qarāwul,settlement,37.2196,68.7802,72,yes,5.0,A9,0,"ghsl-ucdb, wdpa, wikidata"
Afghanistan,Bāmyān,settlement,34.8216,67.8273,67,no,,A12,0,"cuisine, ghsl-ucdb, wikidata"
Afghanistan,Ghazni,settlement,33.5539,68.421,64,yes,8.0,,0,"cuisine, ghsl-ucdb, wdpa"
Afghanistan,Kabul,settlement,34.5281,69.1723,60,yes,3.0,A12,0,"cuisine, ghsl-ucdb, wikidata"
Afghanistan,Herāt,settlement,34.3482,62.1997,60,yes,6.0,A12,0,"cuisine, ghsl-ucdb, wikidata"
Afghanistan,Kandahār,settlement,31.6133,65.7101,59,yes,7.0,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Gardez,settlement,33.5974,69.2259,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Khōst,settlement,33.3395,69.9204,59,yes,9.0,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Maymana,settlement,35.9214,64.7836,59,yes,10.0,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Bāzārak,settlement,35.3129,69.5152,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Pul-e Khumrī,settlement,35.9446,68.7151,59,yes,11.0,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Shibirghān,settlement,36.6676,65.7529,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Charikar,settlement,35.0136,69.1714,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Sar-e Pul,settlement,36.2154,65.9325,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Paghmān,settlement,34.5879,68.9509,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Aībak,settlement,36.2647,68.0155,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Fayzabad,settlement,37.1166,70.58,59,yes,12.0,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Lashkar Gāh,settlement,31.5938,64.3716,59,yes,17.0,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Gereshk,settlement,31.8209,64.57,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Farah,settlement,32.3745,62.1164,59,yes,13.0,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Istālif,settlement,34.8327,69.0776,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Bahārak,settlement,37.0025,70.9066,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Nīlī,settlement,33.7218,66.1302,59,yes,14.0,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Ghormach,settlement,35.7306,63.7826,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Shīnḏanḏ,settlement,33.3029,62.1474,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Rustāq,settlement,37.126,69.8304,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Khān Neshīn,settlement,30.5488,63.7888,59,yes,15.0,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Jurm,settlement,36.8648,70.8342,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Baraki Barak,settlement,33.9674,68.9492,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Karukh,settlement,34.4811,62.5863,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Kushk,settlement,33.2957,61.9522,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Sang-e Chārak,settlement,35.8497,66.4369,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Khāsh,settlement,31.5292,62.7906,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Jabal os Saraj,settlement,35.1183,69.2378,59,no,,A12,0,"cuisine, ghsl-ucdb"
Afghanistan,Nuristan,site,35.5426,70.8934,47,yes,16.0,A9,0,wdpa
Afghanistan,Wakhan National Park,site,36.937,73.2631,47,no,,A9,0,wdpa
Afghanistan,Zaranj,settlement,30.9596,61.8604,32,no,,,0,"ghsl-ucdb, wdpa, wikidata"
Afghanistan,Qarqīn,settlement,37.4185,66.0436,24,no,,,0,"ghsl-ucdb, wdpa"
Afghanistan,Balkh,settlement,36.7563,66.8972,11,no,,A12,0,"ghsl-ucdb, wikidata"
Aland Islands,Mariehamn,settlement,60.0973,19.9348,100,yes,1.0,A11,0,"ghsl-ucdb, osm, wikidata"
Albania,Tirana,settlement,41.3274,19.8187,100,yes,1.0,"A9, A11",0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Albania,Korçë,settlement,40.6186,20.7808,96,yes,2.0,"A9, A11",0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Albania,Gjirokastër,settlement,40.0758,20.1389,81,no,,"A11, A9",1,"ghsl-ucdb, osm, unesco-whs, wdpa, wikidata"
Albania,Sarandë,settlement,39.8753,20.0048,63,yes,3.0,"A11, A9",1,"ghsl-ucdb, osm, unesco-whs, wdpa, wikidata"
Albania,Shkodër,settlement,42.0683,19.5126,63,yes,4.0,"A10, A11",0,"ghsl-ucdb, osm, wdpa, wikidata"
Albania,Pogradec,settlement,40.9025,20.6525,63,no,,"A11, A9",2,"cuisine, ghsl-ucdb, osm, unesco-whs, wikidata"
Albania,Berat,settlement,40.7058,19.9522,62,no,,"A9, A11",0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Albania,Fier,settlement,40.7251,19.5582,56,no,,A11,0,"cuisine, ghsl-ucdb, osm, wikidata"
Albania,Vlorë,settlement,40.4696,19.4838,45,yes,5.0,"A9, A11",0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Albania,Lezhë,settlement,41.7836,19.6436,44,no,,A11,0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Albania,Lushnjë,settlement,40.9419,19.705,33,no,,"A9, A11",0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Albania,Librazhd,settlement,41.1794,20.315,32,no,,A9,0,"cuisine, ghsl-ucdb, osm, wdpa"
Albania,Elbasan,settlement,41.1114,20.0822,32,no,,A11,0,"cuisine, ghsl-ucdb, osm, wikidata"
Albania,Durrës,settlement,41.3235,19.4547,29,no,,A11,0,"cuisine, ghsl-ucdb, osm, wikidata"
Albania,Krujë,settlement,41.5092,19.7928,28,no,,"A10, A11",0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Albania,Bulqizë,settlement,41.4917,20.2219,23,no,,A9,0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Albania,Kavajë,settlement,41.1856,19.5569,16,no,,A11,0,"cuisine, ghsl-ucdb, osm, wikidata"
Albania,Kukës,settlement,42.0769,20.4219,12,yes,6.0,A11,0,"ghsl-ucdb, osm"
