WDPAID,NAME,IUCN_CAT,GIS_AREA,ISO3,latitude,longitude
555707179,SHHuch`i gory,III,39.59,Russia,54.67255,48.75646
555707183,Boloto Derzkij Moh,IV,69.54,Russia,56.64061,32.52962
555707190,Vostochnyj,IV,35.00,Russia,44.49087,45.16963
555707199,Pizhemskij,IV,308.46,Russia,57.67912,48.21927
555707200,Kushtozerskij,IV,63.64,Russia,60.52907,36.26891
555707222,Zakaznik t3 Bezheckogo lesnichestva,IV,49.26,Russia,57.88546,36.35111
555707238,Boloto Zabludyashhee,IV,29.61,Russia,58.30802,35.88240
555707252,YUrmychskij im. A.V. Grigor`eva,IV,205.31,Russia,57.18355,62.86742
555707264,Zakaznik t1 Berezhajskogo lesnichestva,IV,26.34,Russia,57.61318,36.46862
555707265,Kulojskij,IV,286.63,Russia,65.05387,43.50371
555707266,Gryadina,IV,44.72,Russia,49.80672,43.32898
555707267,Nerestovyj massiv Zelenginskij,III,116.32,Russia,46.26039,48.54212
555707269,Ezhozerskij,IV,30.12,Russia,60.69653,36.29097
555707292,Ozero Azas,III,68.28,Russia,52.38710,96.51981
555707301,Verhne-Depskij,IV,1568.89,Russia,53.75643,128.80847
555707303,Tolbuzinskij,IV,829.26,Russia,53.34421,125.35711
555707304,Simonovskij,IV,1196.09,Russia,51.32038,126.99086
555707313,Ozero Turgoyak,III,26.36,Russia,55.15645,60.05782
555707337,Ramasuhskij,IV,116.46,Russia,52.70755,33.57644
555707362,CHistye luga,IV,141.99,Russia,55.44689,50.94658
555707364,Gosudarstvennyj prirodnyj zakaznik v rajone Kalininskoj AES,IV,980.97,Russia,57.86809,35.00664
555707369,Reka Omal,III,102.94,Russia,52.87043,137.10574
555707376,Boloto Tegenskoe,IV,159.76,Russia,57.60922,64.62782
555707385,Ak CHolushpa,II,1950.81,Russia,50.76255,88.41699
555707391,Zavitinskij,IV,355.43,Russia,50.34140,129.69413
555707395,Pelymskij,IV,303.84,Russia,59.68115,63.40482
555707415,Gora Beshtau,III,37.81,Russia,44.09518,43.03506
555707431,Berezovskij,IV,114.35,Russia,50.58356,127.77469
555707440,Moskvoreckij pojmennyj zakaznik,IV,105.61,Russia,55.40312,38.51005
555707466,Harlushevskij,IV,189.85,Russia,55.16135,60.94779
555707485,Spasskij,IV,179.76,Russia,55.07638,49.26036
555707494,Novo-Berezanskij,IV,279.48,Russia,45.68453,39.52395
555707495,Manych-Gudilo,IV,41.50,Russia,46.20245,42.90396
555707500,CHugskij,IV,78.47,Russia,64.16253,42.67835
555707517,CHograjskij,IV,66.83,Russia,45.50716,44.45424
555707555,Uch Enmek,II,872.69,Russia,50.55493,86.19795
555707575,Teterevino,IV,96.03,Russia,50.90286,36.53964
555707611,Ostrova Hachin,IV,32.00,Russia,57.26237,33.04376
555707621,Ust`-Bel`sk,II,47.85,Russia,55.93050,53.58044
555707624,CHudova boloto,IV,117.29,Russia,60.47722,56.69782
555707641,Uhrinskij,IV,52.64,Russia,58.11554,39.67136
555707644,Sotinskij,IV,108.99,Russia,58.04139,40.70034
555707653,Alhanaj,II,1450.69,Russia,50.89741,113.20866
555707675,Belyj Kamen`,IV,57.48,Russia,58.74398,30.44089
555707680,Radovickij Moh,IV,39.01,Russia,55.06101,39.75790
555707683,Hotogo,IV,2592.10,Russia,61.03390,113.39696
555707706,Vtoroj Kondas,IV,26.31,Russia,59.38304,56.32428
555707713,Hajpudyrskij,IV,1643.00,Russia,68.55589,59.31426
555707715,Severnyj Timan,II,5061.27,Russia,67.19668,48.79302
555707718,Kalyazinskij,IV,127.95,Russia,57.11603,38.08309
555707720,More-YU,IV,550.63,Russia,67.86557,60.07422
555707724,Strizhament,IV,43.84,Russia,44.80902,42.01790
555707735,Hvojnye lesa v verhov`yah Moskvy-reki,IV,26.07,Russia,55.68739,35.37360
555707745,Nizhnepechorskij,IV,892.96,Russia,68.01735,53.38304
555707746,Konecbor-Danilovskij,IV,74.57,Russia,64.76748,57.84451
555707748,Verhnecilemskij,IV,119.20,Russia,65.46332,49.44346
555707757,Tinguta,IV,907.06,Russia,45.88422,46.64169
555707758,Gorskinskij,IV,126.78,Russia,54.43205,85.59656
555707760,Romanovskoe II boloto,IV,46.56,Russia,59.08217,56.26099
555707770,Gagul`skaya kotlovina,IV,244.66,Russia,51.96539,93.01299
555707774,Russkij les,IV,83.23,Russia,45.09141,41.87879
555707775,Saltymakovskij,IV,333.96,Russia,54.81837,87.23037
555707780,Argunskij,IV,156.01,Russia,43.32570,45.91838
555707782,Mihajlovskij,IV,43.01,Russia,52.13096,86.64459
555707790,Vejdelevskij,IV,99.32,Russia,50.03908,38.52083
555707808,Levashovskij,IV,121.32,Russia,57.70769,40.49470
555707814,Noglikskij,IV,669.03,Russia,52.01193,142.45657
555707820,Ozero Bol`shoj Tassor,IV,38.56,Russia,51.17412,80.45802
555707830,Reka Tatarka,IV,814.46,Russia,58.52639,93.71075
555707831,Mashukovskij,IV,538.08,Russia,57.85104,94.72832
555707840,Boloto Kajskoe (Kajskoe boloto),III,79.94,Russia,60.09628,47.24142
555707842,Majkopskij,IV,48.72,Russia,44.58498,40.22589
555707859,Bolota Suvarysh  Pyshminskoe  Elanskoe,IV,89.78,Russia,56.54701,62.64661
555707870,Levaty-Nechaty,IV,45.93,Russia,60.25867,54.58747
555707878,Sed`yuskij,IV,107.25,Russia,63.31384,53.86082
555707879,Boguchanskij,IV,2012.55,Russia,59.30076,97.29385
555707890,Irgizskaya pojma,III,27.77,Russia,52.34806,49.91404
555707891,Uchastki tisa yagodnogo v Bekeshevskom i Borgustanskom lesnichestvah,III,28.08,Russia,44.03251,42.38291
555707905,SHorskij,II,4189.48,Russia,52.65305,88.53930
555707916,Burukshunskij,IV,39.25,Russia,45.94209,42.36329
555707934,Olekminskij,IA,8513.61,Russia,58.70554,122.27061
555707945,Kargatskij,IV,882.90,Russia,54.99910,80.00974
555707959,Gora Sarannaya,IV,32.00,Russia,58.88708,59.51648
555707962,Debri,IV,38.94,Russia,44.21641,43.28999
555707970,Boloto Velikij Moh,III,48.23,Russia,57.86798,38.74449
555707985,Angirskij,IV,395.52,Russia,52.23017,108.42076
555707988,Territoriya ZHelnino-Pushkino-Sejma,III,36.11,Russia,56.20347,43.35202
555707999,Osinskaya lesnaya dacha,IV,123.19,Russia,57.23610,55.16065
555708007,Kosinskoe I boloto,IV,25.60,Russia,59.49432,54.57496
555708015,Boloto Tomskoe,IV,63.65,Russia,58.83473,64.19871
555708016,Boloto Firulevskoe,IV,39.11,Russia,58.82668,64.80364
555708017,Hudakskij,IV,505.97,Russia,52.27246,109.24602
555708018,Slobodo-Turinskij,IV,273.02,Russia,57.80815,64.21729
555708020,Tarumovskij,IV,531.66,Russia,44.12440,46.70489
555708033,Bereznikovskij,IV,188.84,Russia,59.22054,56.39849
555708050,Komsomol`skij,IA,644.07,Russia,50.81896,137.61281
555708051,Verhne-Tazovskij,IA,6070.93,Russia,62.87598,83.98242
555708057,Ol`dzhikanskij,IV,1601.31,Russia,52.05390,136.75396
555708059,Badzhal`skij,IV,2816.16,Russia,50.90552,134.80666
555708060,Anyujskij,IB,4291.99,Russia,49.04379,137.13378
555708061,Zejskij,IA,1001.46,Russia,54.06641,127.08916
555708063,Hehcirskij,IV,517.78,Russia,48.26963,135.22680
555708083,Kundryuchenskie peski,IV,26.89,Russia,47.78741,40.93646
555708108,Medvezh`i ostrova,IA,8158.28,Russia,70.51886,160.53025
555708110,Novgorodskij,IV,56.24,Russia,58.31156,30.91373
555708117,Gorohoveckie bolota,III,27.01,Russia,56.25331,42.61839
555708130,Kuz`minskij kompleksnyj zakaznik,IV,49.11,Russia,56.21563,36.13063
555708142,Zadonskij,IV,109.08,Russia,52.34983,38.85073
555708151,Belozerskij,IV,294.90,Russia,55.75389,65.88957
555708176,Kolodeckij,IV,248.03,Russia,52.29180,39.56864
555708178,YUzhnyj,IV,155.57,Russia,56.74375,54.56232
555708187,Voskresenovskij,IV,187.12,Russia,51.11169,129.22085
555708200,Bushkinskoe (Bushkas) boloto,IV,60.53,Russia,60.16106,55.73470
555708226,Krasnyj les,IV,52.32,Russia,45.16463,38.39819
555708227,Kayakentskij,IV,150.61,Russia,42.32468,47.81860
555708233,YAroslavskij,IV,136.40,Russia,57.93019,40.52124
555708238,Zmeevy gory,III,78.54,Russia,51.85882,46.96804
555708240,Deshlagarskij,IV,309.19,Russia,42.31254,47.66128
555708247,Kudryashovskij bor,IV,187.06,Russia,55.17058,82.66771
555708258,Ozero Achchen,III,105.69,Russia,64.82375,174.78889
555708260,Andrejaul`skij,IV,141.13,Russia,43.14508,46.72714
555708261,Uftyugo-Ileshskij,IV,786.38,Russia,62.25153,47.41737
555708273,Melishtinskij,IV,204.81,Russia,42.92070,46.76996
555708280,Talickij,IV,665.01,Russia,54.21760,84.19980
555708286,Stepnoj,IV,953.11,Russia,43.81444,46.01094
