WDPAID,NAME,IUCN_CAT,GIS_AREA,ISO3,latitude,longitude
31308,"Horseshoe Reef",IV,37.55,VGB,18.67562,-64.27511
555556766,"Bikini",IB,2022.03,MHL,11.60412,165.38398
555583308,"Ailinginae",IB,1022.25,MHL,11.15060,166.40902
555583340,"Mili Atoll",IB,96.71,MHL,6.21964,171.94429
555576579,"South Ari Marine Protected Area",IV,51.40,MDV,3.55392,72.81490
555697572,"Ha.Bileidhoo Thila Sarahahdhu",IV,43.35,MDV,7.08291,72.82798
555624907,"Marine Protected Area (Rakahanga/ Manihiki)",IV,37689.84,COK,-10.22934,-161.02840
555546263,"Żona fil-Baħar fl-inħawi ta\' Għar Lapsi u ta\' Filfla",IV,26.31,MLT,35.79882,14.42657
555546266,"Żona fil-Baħar bejn Il-Ponta ta’ San Dimitri (Għawdex) u Il-Qaliet",IV,158.92,MLT,36.00932,14.34958
555589821,"Żona fil-Baħar fit-Tramuntana",IV,319.24,MLT,36.21988,14.26016
555589822,"Żona fil-Baħar fl-inħawi tal-Graben tat-Tramuntana ta’ Għawdex",IV,390.28,MLT,36.17530,14.18594
555589823,"Żona fil-Baħar fil-Grigal",IV,351.93,MLT,36.05988,14.62016
555589824,"Żona fil-Baħar fil-Lvant",IV,625.59,MLT,35.83988,14.76016
555589825,"Żona fil-Baħar fix-Xlokk",IV,219.33,MLT,35.49988,14.70016
555589826,"Żona fil-Baħar fin-Nofsinhar",IV,835.46,MLT,35.55988,14.30015
555589827,"Żona fil-Baħar fl-inħawi tal-Graben ta’ Medina",IV,912.58,MLT,35.55988,14.26230
555589828,"Żona fil-Baħar fil-Lbiċ",IV,256.31,MLT,35.83992,14.44016
555589829,"Żona fil-Baħar madwar Għawdex",IV,556.82,MLT,36.03990,14.28016
555589831,"Żona fil-Baħar fil-Punent",IV,465.25,MLT,35.90868,14.12318
555589832,"Żona fil-Baħar fil-Majjistral",IV,55.93,MLT,36.13988,13.74016
555634474,"Żona fil-Baħar fl-inħawi tal-Majjistral tal-Graben ta’ Malta",IV,107.26,MLT,36.21106,13.83166
555634475,"Żona fil-Baħar fl-inħawi tal-Punent tal-Graben ta’ Malta",IV,201.39,MLT,35.85712,13.91127
555625668,"Vedat de caça de Ransol",IV,28.11,AND,42.60298,1.65479
145500,"Ngaremeduu Bay Conservation Area",IA,119.46,PLW,7.52239,134.45136
555645473,"Helen Reef Conservation Area",II,106.41,PLW,2.90245,131.76853
555645484,"Koror Southern Lagoon",IV,796.77,PLW,7.26008,134.37421
555646866,"Ngaremeduu Bay Network",IA,127.84,PLW,7.52239,134.45136
2200,"Castries and Dennery Waterworks Reserve and Marquis",II,91.93,LCA,13.91654,-60.96320
555637363,"Langness MNR",IV,88.74,IMN,54.05278,-4.53144
555637368,"Ramsey Bay MNR",IV,97.00,IMN,54.38159,-4.32844
555637370,"West Coast MNR",IV,184.83,IMN,54.31516,-4.57357
313505,"Central Catchment Nature Reserve",IB,30.43,SGP,1.37723,103.80559
2236,"Morne Trois Pitons",II,66.94,DMA,15.32389,-61.31038
31306,"Morne Diablotin",II,33.36,DMA,15.52013,-61.40564
9154,"Poudre d'Or Fishing Reserve",IV,28.13,MUS,-20.07111,57.70733
39872,"Black River Gorges",II,56.21,MUS,-20.43026,57.45909
62786,"Hauts De Saint-Philippe",IA,38.19,REU,-21.31315,55.73255
142723,"Bebour",IV,45.74,REU,-21.10735,55.53160
388663,"Marine De La Réunion",IV,35.49,REU,-21.14885,55.27460
388669,"Réunion",II,1055.44,REU,-21.12585,55.57860
555783589,"Reserva Natural Tartaruga",IA,177.04,CPV,16.01304,-22.71264
555624339,"El Muzawqa",IV,28.33,PSE,32.25951,35.53018
555624344,"Qarn Sartaba",IV,31.19,PSE,32.09378,35.45248
555624357,"Wadi el Qilt",IV,28.64,PSE,31.84564,35.34584
555624364,"El Kanub",IV,29.01,PSE,31.57054,35.22848
555757281,"Central Ghor",II,54.52,PSE,32.01038,35.50125
555757282,"Dead Sea coast",IV,235.08,PSE,31.59795,35.36044
555757283,"Jerusalem Wilderness",IB,52.84,PSE,31.73545,35.36742
337453,"Vallée de la Tretterbaach et affluents de la frontière à Asselborn",IV,31.49,LUX,50.08575,5.93380
337454,"Vallée supérieure de l’Our et affluents",IV,43.27,LUX,50.04846,6.12006
337455,"Vallée supérieure de la Sûre et affluents de la frontière belge à Esch-sur-Sûre",IV,46.33,LUX,49.88167,5.85030
337476,"Vallée de l'Our de Ouren a Wallendorf Pont",IV,57.53,LUX,50.00610,6.17591
337480,"Vallées de la Sûre  de la Wiltz  de la Clerve et du Lellgerbaach",IV,44.89,LUX,49.92849,6.03208
337481,"Vallée supérieure de la Sûre / Lac du barrage",IV,47.56,LUX,49.88167,5.85030
337484,"Vallée de l'Ernz noire / Beaufort / Berdorf",IV,43.62,LUX,49.79588,6.32938
337490,"Vallée de la Mamer et de l'Eisch",IV,67.99,LUX,49.68764,5.99316
337493,"Grunewald",IV,32.77,LUX,49.65972,6.18730
555589332,"Région du Kiischpelt",IV,63.10,LUX,49.95646,6.02811
555589333,"Vallées de l'Attert  de la Pall  de la Schwébech  de l'Aeschbech et de la Wëllerbaach",IV,57.28,LUX,49.75092,5.95457
555589334,"Région de Junglinster",IV,30.74,LUX,49.70181,6.28867
555589335,"Région de Mompach  Manternach  Bech et Osweiler",IV,51.71,LUX,49.74444,6.42007
555589336,"Région du Lias moyen",IV,57.98,LUX,49.58329,5.98862
555774650,"Gréngewald",II,35.29,LUX,49.66833,6.19007
3851,"Ladan Hills (Productive Production)",IA,72.08,BRN,4.53003,114.77155
18041,"Tasek Merimbun",II,151.80,BRN,4.54923,114.68139
31701,"Ulu Temburong",II,495.59,BRN,4.43318,115.21996
32948,"Labi Hills (Sungai Ingei Conservation)",IA,184.56,BRN,4.17018,114.75256
32950,"Ulu Mendaram (Conservation)",IA,60.40,BRN,4.29487,114.35925
39637,"Ladan Hills (Bentuan Catchment Protection)",IA,31.33,BRN,4.62154,114.78252
39638,"Ladan Hills (Bukit Bedwan Protection)",IA,80.76,BRN,4.41216,114.84269
39641,"Labi Hills (Bukit Teraja Protection)",IA,72.27,BRN,4.27771,114.46344
31506,"Punta Yegüas Natural Reserve",IV,263.69,PRI,17.93842,-65.75019
88885,"Vieques National Wildlife Refuge",IV,70.82,PRI,18.12165,-65.42253
555586207,"El Toro",IB,42.40,PRI,18.29037,-65.81180
555656181,"Vieques",IV,70.82,PRI,18.12165,-65.42253
555576134,"Al Shouf Cedars Nature Reserve",IB,95.99,LBN,33.63254,35.70202
555790818,"Ain Dara- Ain Zhalta- Barouk- Maaser El Chouf",IV,37.55,LBN,33.71516,35.73677
13676,"Negril Marine Park",II,185.40,JAM,18.30054,-78.31333
28856,"Blue and John Crow Mountains National Park",II,412.95,JAM,18.07382,-76.54764
555744899,"The Fairy Hill - Port Antonio  Portland  Game Sanctuary",IV,35.90,JAM,18.16659,-76.43274
555744902,"Kingston and St. Andrew Game Reserve",IV,142.05,JAM,18.01330,-76.77831
