qid,tier,lat,lon,radius_km,iso
Q682504,ich_unesco,46.45977,6.84225,60,CH
Q713965,ich_unesco,-8.35639,115.07194,60,ID
Q1613073,ich_unesco,50.87750,4.70444,60,BE
Q1711348,ich_unesco,40.65310,47.74060,60,AZ
Q1741199,ich_unesco,58.12850,23.98460,60,EE
Q1749262,ich_unesco,33.59297,130.41045,60,JP
Q1772945,ich_unesco,37.60000,14.01667,60,IT
Q1983449,ich_unesco,51.11580,2.68190,60,BE
Q2115110,ich_unesco,38.26694,-0.69833,60,ES
Q2296569,ich_unesco,43.70167,16.63694,60,HR
Q2371015,ich_unesco,39.47600,-0.37512,60,ES
Q2408955,ich_unesco,-13.54804,-71.23663,60,PE
Q2470659,ich_unesco,50.84671,4.35251,60,BE
Q2500342,ich_unesco,20.74966,-99.94564,60,MX
Q2864645,ich_unesco,47.00000,2.00000,60,FR
Q2939692,ich_unesco,48.83806,-1.58694,60,FR
Q3090993,ich_unesco,29.61028,52.53111,60,IR
Q3130130,ich_unesco,51.20889,3.22417,60,BE
Q3142847,ich_unesco,33.98806,51.44250,60,IR
Q11383026,ich_unesco,35.89111,140.48972,60,JP
Q11411179,ich_unesco,36.23949,137.19788,60,JP
Q11435617,ich_unesco,40.14425,140.80578,60,JP
Q11457147,ich_unesco,35.00497,136.65403,60,JP
Q11465312,ich_unesco,35.17833,136.71861,60,JP
Q11509924,ich_unesco,33.32922,130.93517,60,JP
Q11510099,ich_unesco,36.60905,140.65574,60,JP
Q11511418,ich_unesco,39.53211,141.41714,60,JP
Q11571216,ich_unesco,35.38719,136.93991,60,JP
Q11584632,ich_unesco,35.01277,137.04072,60,JP
Q11596116,ich_unesco,35.99788,139.08400,60,JP
Q11630177,ich_unesco,33.25239,130.36289,60,JP
Q11653306,ich_unesco,35.38264,136.27433,60,JP
Q11661913,ich_unesco,37.04250,136.97167,60,JP
Q11665038,ich_unesco,34.64322,135.98436,60,JP
Q12246208,ich_unesco,28.46196,-11.10635,60,MA
Q12295775,ich_unesco,42.59983,23.03081,60,BG
Q12635607,ich_unesco,45.40000,18.36667,60,HR
Q15265616,ich_unesco,19.34427,-99.09179,60,MX
Q167067,ich_unesco,28.64189,77.23070,60,IN
Q258348,ich_unesco,31.62597,-7.98910,60,MA
Q379831,ich_unesco,39.00000,60.00000,60,AZ
Q493695,ich_unesco,33.44517,129.96740,60,JP
Q618206,ich_unesco,10.18000,-66.75000,60,VE
Q635427,ich_unesco,-8.22667,114.36639,60,ID
Q3339328,ich_unesco,4.05000,9.70000,60,CM
Q3478361,ich_unesco,4.61550,-74.06900,60,CO
Q3504711,ich_unesco,43.15000,16.75000,60,HR
Q4200773,ich_unesco,-7.49167,110.00444,60,ID
Q4789767,ich_unesco,12.74864,4.53822,60,NG
Q4794504,ich_unesco,41.67304,26.57361,60,TR
Q5447340,ich_unesco,-15.84333,-70.02361,60,PE
Q5737902,ich_unesco,38.10750,-1.86000,60,ES
Q5784016,ich_unesco,37.98342,-1.13022,60,ES
Q5886929,ich_unesco,15.50000,-90.25000,60,GT
Q6080166,ich_unesco,35.06544,136.69464,60,JP
Q6349714,ich_unesco,39.60051,140.56143,60,JP
Q6663970,ich_unesco,36.74756,137.01206,60,JP
Q781014,ich_unesco,45.95611,2.16750,60,FR
Q797269,ich_unesco,47.23944,10.73806,60,AT
Q890297,ich_unesco,57.00000,25.00000,60,LT
Q979873,ich_unesco,35.00364,135.77853,60,JP
Q1078316,ich_unesco,-7.19330,112.55300,60,ID
Q1122008,ich_unesco,10.96389,-74.79639,60,CO
Q1143768,ich_unesco,39.47000,-0.37640,60,ES
Q1247385,ich_unesco,49.81167,6.42167,60,LU
Q1282356,ich_unesco,28.07500,119.12083,60,CN
Q1328626,ich_unesco,36.00000,44.00000,60,IR
Q1399796,ich_unesco,1.21000,-77.27472,60,CO
Q1428368,ich_unesco,6.75000,-1.50000,60,GH
Q1433233,ich_unesco,50.77266,3.89033,60,BE
Q1500828,ich_unesco,-17.96667,-67.11667,60,BO
Q7419741,ich_unesco,46.00250,14.02750,60,SI
Q7677467,ich_unesco,36.14825,137.26044,60,JP
Q7849923,ich_unesco,39.75694,140.07083,60,JP
Q11019445,ich_unesco,35.92759,139.48853,60,JP
Q11212511,ich_unesco,23.73324,90.39092,60,BD
Q11318123,ich_unesco,35.14261,139.61881,60,JP
Q11338631,ich_unesco,29.45083,129.60306,60,JP
Q11360316,ich_unesco,34.76642,136.13319,60,JP
Q11370941,ich_unesco,34.91839,136.97067,60,JP
Q35281,ich_unesco,47.56056,7.59056,60,CH
Q35330,ich_unesco,50.41030,4.16516,60,BE
Q18465047,ich_unesco,-19.58917,-65.75333,60,BO
Q19280060,ich_unesco,7.34736,-61.83319,60,VE
Q21002400,ich_unesco,-14.38132,-71.48401,60,PE
Q21052026,ich_unesco,50.84660,4.35240,60,BE
Q24875082,ich_unesco,35.14744,136.78794,60,JP
Q24875391,ich_unesco,36.56668,139.74596,60,JP
Q24927689,ich_unesco,7.85861,3.93212,60,NG
Q28133228,ich_unesco,50.91667,3.86667,60,BE
Q56346275,ich_unesco,-14.99444,-65.64028,60,BO
Q61125162,ich_unesco,43.79283,19.95083,60,RS
Q63562262,ich_unesco,36.78750,11.99250,60,IT
Q65133732,ich_unesco,11.94194,-8.41028,60,ML
Q66633854,ich_unesco,35.50892,133.00644,60,JP
Q78304389,ich_unesco,41.59200,-6.92600,60,PT
Q96213157,ich_unesco,6.66667,38.50000,60,ET
Q109259132,ich_unesco,21.26667,40.41667,60,SA
Q139829900,ich_unesco,10.59095,14.31593,60,CM
Q194492,ich_unesco,0.90000,104.45000,60,
Q331220,ich_unesco,-8.50000,115.00000,60,
Q589421,ich_unesco,-0.72237,100.76222,60,
Q852316,ich_unesco,45.99583,18.67972,60,
Q963061,ich_unesco,5.75000,0.00000,60,
Q1816129,ich_unesco,42.10434,1.84624,60,
Q2384646,ich_unesco,51.92000,4.48000,60,
Q111994972,ich_unesco,41.00000,75.00000,60,KG
Q113025298,ich_unesco,51.32028,5.08639,60,BE
Q115505283,ich_unesco,42.70000,0.60000,60,ES
Q116838033,ich_unesco,32.50481,130.59342,60,JP
Q119002345,ich_unesco,51.03123,4.09810,60,BE
Q123436964,ich_unesco,5.71667,10.91667,60,CM
Q123693506,ich_unesco,56.79000,14.44000,60,HU
Q125721895,ich_unesco,38.76761,141.32628,60,JP
Q139823010,ich_unesco,5.13333,12.65000,60,TD
Q139823682,ich_unesco,7.37222,12.65361,60,CM
Q139823724,ich_unesco,9.30000,13.40000,60,CM
Q139824515,ich_unesco,5.33333,10.40000,60,CM
Q139824798,ich_unesco,5.19344,10.47838,60,CM
Q139824804,ich_unesco,5.96139,10.15167,60,CM
Q139824925,ich_unesco,10.59095,14.31593,60,CM
Q139825141,ich_unesco,10.74028,13.80278,60,CM
Q9300201,ich_unesco,-12.48333,-38.21667,60,
Q12630967,ich_unesco,42.64028,18.10833,60,
Q21609631,ich_unesco,5.69528,-76.66111,60,
Q21659671,ich_unesco,40.84921,48.38373,60,
Q55851203,ich_unesco,43.65000,17.96694,60,
Q89688476,ich_unesco,44.63364,18.21028,60,
Q109552322,ich_unesco,39.09222,44.54444,60,
Q3269818,ich_national,-2.50000,115.50000,60,ID
Q3327994,ich_national,38.26690,-0.69830,60,ES
Q3328419,ich_national,43.68306,-7.85000,60,ES
Q3328530,ich_national,44.26440,-0.51833,60,FR
Q3334755,ich_national,33.66857,135.89049,60,JP
Q3392407,ich_national,43.01167,-7.55722,60,ES
Q3395702,ich_national,42.51439,-8.81384,60,ES
Q3397662,ich_national,39.85190,-0.48960,60,ES
Q3444111,ich_national,41.21324,-0.44562,60,ES
Q3461576,ich_national,34.65364,134.03803,60,JP
Q1236370,ich_national,38.34530,-0.48310,60,ES
Q1291927,ich_national,43.77639,20.23194,60,RS
Q1324590,ich_national,37.13130,-6.48300,60,ES
Q1469338,ich_national,37.38861,-5.99500,60,ES
Q1520293,ich_national,-0.95556,100.36056,60,ID
Q1528272,ich_national,-6.23333,107.00000,60,ID
Q1585780,ich_national,-10.18333,123.58333,60,ID
