candidate_id,lat,lon,landforms
uc-1138958,34.5281,69.1723,steppe
uc-1140026,34.3482,62.1997,steppe
uc-1133616,36.709,67.1109,desert
uc-1138336,31.6133,65.7101,desert
uc-1139715,34.4265,70.4515,desert
uc-1135689,36.7289,68.857,steppe
uc-1141269,33.5539,68.421,steppe
uc-1147290,36.7563,66.8972,steppe
uc-1147540,36.1307,68.7083,steppe
uc-1141857,33.5974,69.2259,
uc-1136469,33.3395,69.9204,steppe
uc-1133453,35.9214,64.7836,steppe
uc-1137168,36.683,69.1128,steppe
uc-1121381,34.7353,66.9738,steppe
uc-1429434,35.3129,69.5152,
uc-1136575,36.6974,67.6983,desert
uc-1123004,36.736,69.5345,steppe
uc-1147242,34.8216,67.8273,steppe
uc-1130490,35.9446,68.7151,steppe
uc-1125444,36.6676,65.7529,steppe
uc-1145352,35.0136,69.1714,
uc-1127110,36.2154,65.9325,steppe
uc-1120985,30.9596,61.8604,desert
uc-1131316,34.5879,68.9509,
uc-1148311,34.8731,71.147,steppe
uc-1127768,36.2647,68.0155,steppe
uc-1142170,37.1166,70.58,desert
uc-1134720,31.5938,64.3716,desert|river
uc-1141540,31.8209,64.57,desert|river
uc-1142264,32.3745,62.1164,desert
uc-1142330,34.8327,69.0776,
uc-1148658,36.9529,65.1238,steppe
uc-1147489,37.0025,70.9066,steppe
uc-1131833,33.7218,66.1302,
uc-1141089,35.7306,63.7826,steppe
uc-1125155,33.3029,62.1474,desert
uc-1128265,37.126,69.8304,
uc-1137079,30.5488,63.7888,desert|river
uc-1129648,37.2196,68.7802,river|steppe
uc-1139085,36.8648,70.8342,desert
uc-1132495,36.0649,69.1334,
uc-1147066,33.9674,68.9492,steppe
uc-1148106,37.0857,69.4796,steppe
uc-1142404,34.6667,61.0667,desert
uc-1137807,34.4811,62.5863,steppe
uc-1133574,34.6714,70.2094,desert
uc-1135158,33.2957,61.9522,desert
uc-1125896,34.1074,64.3052,
uc-1148205,35.0333,71.3581,
uc-1127628,35.8497,66.4369,steppe
uc-1136863,31.5292,62.7906,desert
uc-1469706,34.1258,70.7078,steppe
uc-1139807,35.1183,69.2378,
uc-1129516,37.4185,66.0436,river|steppe
uc-3041732,60.0973,19.9348,coast
uc-3183875,41.3274,19.8187,
uc-3185728,41.3235,19.4547,coast
uc-3183719,40.4696,19.4838,coast
uc-783263,41.1114,20.0822,
uc-3184081,42.0683,19.5126,lake|river
uc-3185670,40.7167,19.5667,coast
uc-3185082,41.5092,19.7928,coast
uc-3184862,40.9419,19.705,coast
uc-3186084,40.7058,19.9522,
uc-782756,40.6186,20.7808,
uc-3185672,40.7251,19.5582,coast
uc-781988,40.9025,20.6525,lake
uc-782661,42.0769,20.4219,river
uc-3185060,40.8003,19.9167,
uc-3185211,41.1856,19.5569,coast
uc-783508,41.4917,20.2219,
uc-783148,40.0758,20.1389,
uc-782519,41.1794,20.315,
uc-3184517,40.6428,19.6508,coast
uc-363243,39.8753,20.0048,coast
uc-3184935,41.7836,19.6436,coast|river
uc-3184497,41.0461,19.7511,
uc-2507480,36.7323,3.0875,coast
uc-2485926,35.6991,-0.6359,coast|steppe
uc-2503769,36.47,2.8277,
uc-2501152,36.365,6.6147,
uc-2506999,36.9,7.7667,coast
uc-2505572,35.556,6.1741,steppe
uc-2481700,36.1911,5.4137,
uc-2500017,34.6728,3.263,steppe
uc-2475687,34.8783,-1.315,
uc-2498611,36.1653,1.3345,steppe
uc-2481007,35.1899,-0.6309,steppe
uc-2503826,34.8504,5.728,desert
uc-2477461,35.4042,8.1242,steppe
uc-2497411,33.3561,6.8632,desert
uc-2475475,33.1108,6.07,desert
uc-2495662,36.4621,7.4261,
uc-2479536,36.8762,6.9092,coast
uc-2476897,35.371,1.317,steppe
