id,lat,lon,kind,weight,tag
osm-node-4456987190,-31.23763,-64.60201,A4,0.9,natural=peak
osm-node-3471330379,-31.34099,-64.47860,A2,0.5,historic=archaeological_site
osm-node-5607543712,-31.34881,-64.43357,A4,0.9,natural=peak
osm-node-10220155139,-31.34531,-64.42120,A7,0.7,waterway=waterfall
osm-node-9599871571,-31.30645,-64.58828,A7,0.7,waterway=waterfall
osm-node-1557972354,-31.32685,-64.50612,A7,0.7,waterway=waterfall
osm-node-10913382254,-31.32985,-64.45807,A3,0.9,natural=beach
osm-node-13513597594,-31.32198,-64.45498,A2,0.5,historic=castle
osm-node-5607543710,-31.31693,-64.43276,A4,0.9,natural=peak
osm-node-5607545224,-31.32157,-64.42652,A4,0.9,natural=peak
osm-node-5607543708,-31.31133,-64.43067,A4,0.9,natural=peak
osm-node-4456987194,-31.31132,-64.41145,A4,0.9,natural=peak
osm-node-12720698901,-31.31931,-64.40386,A7,0.7,waterway=waterfall
osm-node-5607545221,-31.29475,-64.42986,A4,0.9,natural=peak
osm-node-7041680762,-31.29224,-64.40214,A7,0.7,waterway=waterfall
osm-node-5607545222,-31.26617,-64.42618,A4,0.9,natural=peak
osm-node-5607543717,-31.26049,-64.42275,A4,0.9,natural=peak
osm-node-2715992690,-31.23802,-64.41993,A4,0.9,natural=peak
osm-node-7041680571,-31.31355,-64.36973,A7,0.7,waterway=waterfall
osm-node-7041675945,-31.33462,-64.35482,A7,0.7,waterway=waterfall
osm-node-9332725023,-31.15026,-64.50802,A7,0.7,waterway=waterfall
osm-node-5607545223,-31.20984,-64.41835,A4,0.9,natural=peak
osm-node-5607543715,-31.12908,-64.43896,A4,0.9,natural=peak
osm-node-4456987198,-31.15445,-64.41973,A4,0.9,natural=peak
osm-node-5607545226,-31.15480,-64.41982,A4,0.9,natural=peak
osm-node-8394788414,-31.11207,-64.44171,A7,0.7,waterway=waterfall
osm-node-928631237,-31.16001,-64.37087,A7,0.7,waterway=waterfall
