qid,tier,lat,lon,sitelinks,iso
n5747270801,market,23.63821,-15.99794,0,MA
n5747270796,market,23.63955,-15.99729,0,MA
n5747270798,market,23.63915,-15.99674,0,MA
n5747270799,market,23.63874,-15.99721,0,MA
n11024972525,market,23.67780,-15.97915,0,MA
n1899928215,institution,23.68529,-15.94806,0,MA
n5315114335,craft_cluster,23.68987,-15.94612,0,MA
n7846052200,market,23.69112,-15.94023,0,MA
n1899855658,institution,23.69954,-15.93049,0,MA
n1899928228,institution,23.70625,-15.92662,0,MA
n5308433341,craft_cluster,23.70651,-15.92576,0,MA
n7846057376,market,23.80138,-15.73808,0,MA
n10572716032,craft_cluster,26.21874,-14.28249,0,MA
n12511002107,institution,27.93398,-12.93170,0,MA
n5292072075,institution,27.94388,-12.92483,0,MA
n5292115381,market,27.94175,-12.92638,0,MA
n1419624330,market,28.42570,-11.11012,0,MA
n5243475422,institution,28.94648,-9.96422,0,MA
n12064155169,craft_cluster,29.37555,-9.22764,0,MA
n5155959771,market,29.58089,-10.03322,0,MA
n13865923458,craft_cluster,29.61071,-10.01946,0,MA
n12127384140,market,29.49485,-9.50135,0,MA
n2273220283,market,29.64965,-9.53783,0,MA
n13327106801,institution,29.11613,-9.21578,0,MA
n6029347321,market,29.16496,-8.95599,0,MA
n12127384130,market,29.63946,-9.09423,0,MA
n4942972241,institution,29.70982,-8.98690,0,MA
n4942972274,institution,29.71728,-8.97889,0,MA
n2140643428,market,29.72161,-8.97321,0,MA
n4564078979,market,29.72198,-8.97352,0,MA
n6149853687,craft_cluster,29.71877,-8.97615,0,MA
n10259494421,craft_cluster,29.76140,-8.96550,0,MA
n4942300537,institution,29.76477,-8.94298,0,MA
n13442430801,institution,30.05752,-9.65506,0,MA
n5368948539,market,29.99171,-9.64371,0,MA
n13438129060,institution,30.44435,-9.65518,0,MA
n12673021001,craft_cluster,30.45661,-9.65038,0,MA
n13460285490,market,30.51240,-9.67824,0,MA
n11396940062,market,30.54433,-9.70919,0,MA
n12684343643,market,30.54659,-9.70719,0,MA
n14055303988,market,30.29283,-9.45903,0,MA
n6121144876,craft_cluster,30.42348,-9.60108,0,MA
n13690956788,craft_cluster,30.42291,-9.59452,0,MA
n4607803147,institution,30.37849,-9.57245,0,MA
n10119174043,market,30.38461,-9.57263,0,MA
n6123305408,craft_cluster,30.41470,-9.59413,0,MA
n11678039115,craft_cluster,30.42488,-9.59032,0,MA
n10733196308,craft_cluster,30.41664,-9.57633,0,MA
n13986528152,craft_cluster,30.41258,-9.58024,0,MA
n13986539202,craft_cluster,30.41379,-9.58022,0,MA
n6174963074,market,30.41110,-9.56157,0,MA
n6174963075,market,30.41043,-9.56153,0,MA
n4662805489,craft_cluster,30.35605,-9.53692,0,MA
