WDPAID,NAME,IUCN_CAT,GIS_AREA,ISO3,latitude,longitude
3,Laguna de los Pozuelos,III,217.93,ARG,-22.34238,-65.99790
4,Formosa,IA,90.75,ARG,-24.27170,-61.78334
6,Los Glaciares,II,5368.38,ARG,-49.97723,-73.14067
7,Lanín,II,2182.39,ARG,-39.57289,-71.44984
8,Los Alerces,II,1884.70,ARG,-42.84234,-71.88706
10,Calilegua,II,775.21,ARG,-23.69496,-64.79295
11,Baritú,II,682.07,ARG,-22.58572,-64.62402
12,Río Pilcomayo,II,508.32,ARG,-25.05255,-58.14401
15,Iguazú,II,512.47,ARG,-25.64815,-54.31909
16,El Rey,II,401.91,ARG,-24.67831,-64.63254
17,Lago Puelo,II,190.50,ARG,-42.17811,-71.69017
18,Chaco,II,149.31,ARG,-26.82654,-59.65519
19,Laguna Blanca,II,77.44,ARG,-39.05282,-70.33573
20,Lihué Calel,II,325.55,ARG,-37.91580,-65.56074
21,El Palmar,II,82.21,ARG,-31.87725,-58.25869
42,Reserva Biológica Do Lago Piratuba,IA,3924.71,BRA,1.49728,-50.22487
43,Reserva Biológica Do Rio Trombetas,IA,4106.77,BRA,-1.07208,-56.66742
44,Reserva Biológica Do Jaru,IA,3468.63,BRA,-9.77117,-61.73525
46,Reserva Biológica Do Atol Das Rocas,IA,351.87,BRA,-3.85236,-33.78507
47,Reserva Biológica De Sooretama,IA,278.59,BRA,-18.98840,-40.08383
48,Reserva Biológica De Una,IA,187.25,BRA,-15.18101,-39.10236
49,Reserva Biológica De Poço Das Antas,IA,50.52,BRA,-22.54380,-42.27884
53,Parque Nacional Do Jaú,II,23673.41,BRA,-2.26088,-62.66888
54,Parque Nacional Do Pico Da Neblina,II,22525.46,BRA,0.31967,-65.96546
55,Parque Nacional Da Amazônia,II,10662.88,BRA,-4.29954,-56.73405
56,Parque Nacional De Pacaás Novos,II,7061.17,BRA,-11.10540,-63.28668
57,Parque Nacional Do Cabo Orange,II,6573.33,BRA,3.66294,-51.21347
58,Parque Nacional Do Araguaia,II,5555.01,BRA,-10.50478,-50.21104
59,Parque Nacional Da Chapada Dos Veadeiros,II,2405.85,BRA,-13.91739,-47.44089
60,Parque Nacional Do Iguaçu,II,1698.51,BRA,-25.37333,-54.05512
61,Parque Nacional Dos Lençóis Maranhenses,II,1571.74,BRA,-2.53081,-43.12197
62,Parque Nacional Das Emas,II,1327.87,BRA,-18.10658,-52.92809
64,Parque Nacional Da Serra Da Capivara,II,1007.63,BRA,-8.66790,-42.54184
65,Parque Nacional Da Serra Da Canastra,II,1979.71,BRA,-20.37024,-46.60178
66,Parque Nacional De São Joaquim,II,496.72,BRA,-28.20270,-49.50778
67,Parque Nacional De Brasília,II,423.55,BRA,-15.63294,-48.01256
68,Parque Nacional E Histórico Do Monte Pascoal,II,222.40,BRA,-16.86440,-39.27096
69,Parque Nacional De Caparaó,II,317.51,BRA,-20.45870,-41.78537
70,Parque Nacional De Itatiaia,II,280.86,BRA,-22.35635,-44.66085
71,Parque Nacional De Aparados Da Serra,II,129.66,BRA,-29.18007,-50.09479
72,Parque Nacional Da Serra Dos Órgãos,II,198.50,BRA,-22.48871,-43.08094
73,Parque Nacional De Sete Cidades,II,63.11,BRA,-4.09859,-41.71288
74,Parque Nacional Da Tijuca,II,39.58,BRA,-22.95417,-43.26838
75,Parque Nacional De Ubajara,II,63.04,BRA,-3.76920,-40.91787
125,Ciénaga Grande de Santa Marta,IB,270.19,COL,10.73661,-74.45014
126,Los Flamencos,IB,70.64,COL,11.39410,-73.11921
127,Iguaque,IB,68.88,COL,5.66933,-73.44877
129,El Tuparro,II,5547.80,COL,5.27717,-68.50787
130,Sierra de la Macarena,II,6204.55,COL,2.78624,-73.50109
131,Paramillo,II,5039.65,COL,7.54095,-76.05657
132,Sierra Nevada de Santa Marta,II,5741.60,COL,10.83988,-73.54543
133,El Cocuy,II,3061.43,COL,6.51555,-72.15351
134,Cordillera de los Picachos,II,2878.97,COL,2.83661,-74.60735
135,Amacayacu,II,2672.41,COL,-3.43080,-70.16290
136,Nevado del Huila,II,1637.57,COL,2.96923,-75.92630
137,Sumapaz,II,2109.92,COL,3.93760,-74.17994
138,Farallones de Cali,II,1963.66,COL,3.39247,-76.84834
139,Las Hermosas - Gloria Valencia de Castaño,II,1247.12,COL,3.67665,-75.87619
140,Sanquianga,II,863.30,COL,2.53138,-78.29744
141,Puracé,II,919.63,COL,2.12829,-76.44026
142,Los Katíos,II,779.72,COL,7.82411,-77.20196
143,Chingaza,II,772.70,COL,4.56794,-73.65349
144,Tamá,II,511.09,COL,7.23739,-72.25465
145,Pisba,II,351.45,COL,5.86283,-72.56454
146,Munchique,II,469.81,COL,2.66722,-76.98960
147,Los Nevados,II,614.03,COL,4.78494,-75.39232
148,Las Orquídeas,II,287.61,COL,6.58015,-76.27249
149,Macuira,II,241.57,COL,12.15018,-71.33362
150,Isla de Salamanca,II,565.88,COL,11.00431,-74.59373
152,Tayrona,II,193.09,COL,11.31465,-74.05402
153,Cueva de los Guácharos,II,71.33,COL,1.58938,-76.12700
156,Hitoy Cerere,IA,99.78,CRI,9.64279,-83.08095
157,Carara,II,53.31,CRI,9.79021,-84.56823
163,Chirripo,II,506.73,CRI,9.48786,-83.54061
164,Corcovado,II,442.65,CRI,8.54307,-83.57637
165,Braulio Carrillo,II,499.31,CRI,10.24007,-84.00189
166,Santa Rosa,II,814.78,CRI,10.82172,-85.78976
167,Tortuguero,II,767.38,CRI,10.48735,-83.42562
168,Rincon de la Vieja,II,158.71,CRI,10.78086,-85.31460
169,Volcan Poas,II,65.60,CRI,10.21747,-84.23099
170,Isla del Coco,II,54844.16,CRI,5.38302,-87.67701
180,Cotubanamá  (Del Este),II,795.68,DOM,18.20692,-68.66622
181,Los Haitises,II,632.14,DOM,18.99810,-69.68406
183,Cayambe Coca,II,4073.43,ECU,-0.06991,-77.81333
186,Yasuní,II,10231.52,ECU,-1.07279,-76.09646
187,Galápagos,II,7721.05,ECU,0.13488,-90.62513
188,Sangay,II,4859.89,ECU,-2.05015,-78.50695
189,Machalilla,II,585.46,ECU,-1.45727,-80.86940
190,Cotopaxi,II,327.80,ECU,-0.64315,-78.46225
193,Tikal,II,575.35,GTM,17.22190,-89.62366
199,"La Citadelle, Sans Souci, Ramiers",III,25.25,HTI,19.56942,-72.23148
200,La Tigra,II,242.63,HND,14.21077,-87.11879
212,La Montaña Malinche o Matlalcuéyatl,II,461.38,MEX,19.22427,-98.04583
213,Iztaccíhuatl-Popocatépetl,II,398.50,MEX,19.22637,-98.68011
214,Pico de Orizaba,II,197.50,MEX,19.05665,-97.28548
216,Bosencheve,II,146.05,MEX,19.43200,-100.15660
217,Cofre de Perote o Nauhcampatépetl,II,115.29,MEX,19.49753,-97.15783
219,Lagunas de Chacahua,II,149.01,MEX,16.00185,-97.65986
220,Lagunas de Montebello,II,64.13,MEX,16.11861,-91.71645
221,Constitución de 1857,II,50.11,MEX,32.07663,-115.90354
222,Lagunas de Zempoala,II,45.59,MEX,19.06338,-99.30987
223,El Chico,II,27.42,MEX,20.19685,-98.72776
225,Insurgente José María Morelos,II,71.89,MEX,19.62534,-100.99757
230,Bonaire,II,33.30,BES,12.16840,-68.30112
234,Cerro Saslaya,II,632.68,NIC,13.84049,-85.05656
235,Volcán Masaya,II,54.72,NIC,11.98499,-86.15104
236,Darién,II,5675.38,PAN,7.86338,-77.78941
238,Soberanía,II,195.50,PAN,9.16084,-79.72820
240,Volcán Barú,II,141.12,PAN,8.82668,-82.55804
241,Altos de Campana,II,49.23,PAN,8.69373,-79.94855
242,Defensores del Chaco,II,7204.75,PRY,-20.24492,-60.32584
244,Teniente Agripino Enciso,II,422.54,PRY,-21.08589,-61.63328
245,Caazapa,II,126.94,PRY,-26.08755,-55.60878
246,Cerro Cora,II,56.82,PRY,-22.65681,-56.01756
247,Ybycui,II,50.79,PRY,-26.06042,-56.81660
255,de Huayllay,III,68.17,PER,-10.95083,-76.33337
256,de Calipuy,III,44.94,PER,-8.34439,-78.29983
257,del Manu,II,16987.30,PER,-12.26087,-71.63468
258,Huascarán,II,3396.81,PER,-9.41794,-77.45030
259,Cerros de Amotape,II,1521.53,PER,-4.01254,-80.47408
260,Tingo María,II,47.79,PER,-9.37288,-76.00497
261,de Cutervo,II,82.09,PER,-6.22099,-78.78860
262,de Machupicchu,III,372.64,PER,-13.23421,-72.47755
263,Barro Colorado,III,48.92,PAN,9.15195,-79.84522
