id,lat,lon,kind,weight,tag
Q1055311,44.46778,34.14361,A2,0.5,Q16560
Q1058677,41.89734,12.48808,A2,0.5,Q16560
Q1059945,51.46039,-0.31022,A2,0.5,Q16560
Q1064212,37.39213,-5.99382,A2,0.5,Q16560
Q1065016,32.04528,118.79222,A2,0.5,Q16560
Q1065071,1.45500,103.75636,A2,0.5,Q16560
Q1066641,55.75028,12.58056,A2,0.5,Q16560
Q1072284,52.09306,4.34389,A2,0.5,Q16560
Q1072510,19.42056,-99.18167,A2,0.5,Q16560
Q1075661,52.25383,21.00789,A2,0.5,Q16560
Q1075988,48.86103,2.33589,A2,0.5,Q16560
Q1077215,34.50175,47.95958,A2,0.5,Q16560
Q1080108,43.72434,12.63647,A2,0.5,Q16560
Q1087662,49.94833,15.26861,A2,0.5,Q16560
Q1090910,41.89749,12.47273,A2,0.5,Q16560
Q1094986,41.90134,12.47297,A2,0.5,Q16560
Q1095476,52.24069,21.02028,A2,0.5,Q16560
Q1102801,46.76894,23.58948,A2,0.5,Q16560
Q1103996,36.92648,14.73602,A2,0.5,Q16560
Q1108996,38.79680,-9.39957,A2,0.5,Q16560
Q1111291,40.83333,14.25000,A2,0.5,Q16560
Q1111425,47.89925,20.37407,A2,0.5,Q16560
Q1114018,47.49260,19.05400,A2,0.5,Q16560
Q1115328,45.54722,11.54583,A2,0.5,Q16560
Q1115670,40.83261,14.22557,A2,0.5,Q16560
Q1116546,41.38416,2.17757,A2,0.5,Q16560
Q1120323,45.06953,11.79019,A2,0.5,Q16560
Q1120354,40.84973,14.25825,A2,0.5,Q16560
Q1123712,44.41081,8.93494,A2,0.5,Q16560
Q1123987,56.41330,24.02483,A2,0.5,Q16560
Q1130266,51.49556,-0.11972,A2,0.5,Q16560
Q1131821,50.84261,4.36069,A2,0.5,Q16560
Q1142766,-22.92583,-43.17611,A2,0.5,Q16560
Q1143049,47.21560,0.06220,A2,0.5,Q16560
Q1144475,55.82538,37.61464,A2,0.5,Q16560
Q1144592,38.69799,-9.20060,A2,0.5,Q16560
Q1149220,52.23944,21.01500,A2,0.5,Q16560
Q1149294,48.22890,16.33080,A2,0.5,Q16560
Q1149917,52.37472,20.91417,A2,0.5,Q16560
Q1152384,41.00600,28.97600,A2,0.5,Q16560
Q1158390,49.19543,16.60894,A2,0.5,Q16560
Q1158530,34.29139,108.95944,A2,0.5,Q16560
Q1163049,52.18900,21.02847,A2,0.5,Q16560
Q1164385,-8.53564,115.40298,A2,0.5,Q16560
Q1164788,43.73142,7.42028,A2,0.5,Q16560
Q1169535,54.89667,23.88417,A2,0.5,Q16560
Q1169791,52.23541,21.01809,A2,0.5,Q16560
Q1181803,27.52353,89.64273,A2,0.5,Q16560
Q1185244,52.24523,21.01091,A2,0.5,Q16560
Q1205254,49.61089,6.13283,A2,0.5,Q16560
Q1215022,47.90065,20.37855,A2,0.5,Q16560
Q1228146,40.35000,18.16667,A2,0.5,Q16560
Q1228148,40.47625,17.22696,A2,0.5,Q16560
Q1228157,36.92724,14.74426,A2,0.5,Q16560
Q1228160,36.92530,14.73183,A2,0.5,Q16560
