qid,lat,lon
Q2061221,56.80000,9.81667
Q2080789,31.10333,77.17222
Q2095497,39.75000,-74.75000
Q1425435,44.28320,-118.78400
Q1426692,51.45000,14.71667
Q1427349,48.02857,-113.80539
Q1721230,48.22419,12.43649
Q1741158,51.60833,9.60028
Q1753796,51.65081,5.04672
Q1772287,60.10001,10.47789
Q1779483,54.83833,9.42667
Q1779560,58.66530,16.46640
Q1781173,50.04610,7.04172
Q1785474,50.66109,7.08359
Q1802044,44.18000,-0.58220
Q1806754,48.97360,9.50278
Q1815491,51.31719,12.35654
Q1825238,59.99167,10.83333
Q1836727,50.81163,4.06457
Q1896968,54.37153,22.52131
Q1973080,57.98444,56.15222
Q1979340,48.55280,13.34670
Q896061,51.24560,9.75528
Q896078,51.68145,12.64769
Q896848,52.27222,11.02139
Q896866,49.19739,6.76615
Q899681,48.20528,17.09306
Q902997,51.79000,-2.54000
Q1656636,49.83333,7.21667
Q1663647,51.30000,12.91670
Q1671852,37.85280,-118.28600
Q4204,48.30000,8.15000
Q4526,21.75000,88.75000
Q8905,51.09556,13.83806
Q9708,53.96550,27.61133
Q60945,34.24361,36.04833
Q109773,51.89556,8.81361
Q125435,49.07722,8.43583
Q127512,54.43333,12.51667
Q129423,53.60278,56.26139
Q151276,50.73306,6.07306
Q163808,52.57170,9.37194
Q192666,52.75000,23.95000
Q200773,48.42500,16.32500
Q206700,50.42167,6.48743
Q209626,48.86472,2.25083
Q250290,48.26083,23.74167
Q251046,49.10000,17.04890
Q251246,48.08722,15.91194
Q252634,48.06721,11.57664
Q271639,48.82806,2.43306
Q277755,50.86306,-1.61806
Q323694,54.82639,9.40889
Q329091,56.96296,24.21039
Q372495,53.82250,17.91444
Q389212,46.91670,7.17480
Q390819,47.15000,-114.45000
Q435245,47.77453,9.72592
Q442603,50.55722,6.01972
Q464494,53.62083,14.38417
Q469253,50.70000,6.30000
Q481600,48.16417,8.50000
Q491088,35.86750,129.22300
Q510383,53.54220,10.37310
Q516969,52.06667,10.58333
Q523194,19.41306,-99.19778
Q525077,45.33330,-117.00100
Q539730,41.10332,-3.48982
Q574308,31.78056,35.06111
Q587474,45.95641,13.81412
Q591413,37.50000,-88.66670
Q593870,65.06667,60.15000
Q600873,46.56333,6.12139
Q615767,35.47361,138.64000
Q621498,7.75491,4.55063
Q632261,46.77400,23.52200
Q645983,53.88444,26.44250
Q652755,48.30860,15.52420
Q653870,55.12417,14.92500
Q688553,45.63330,-118.18300
Q689053,37.44716,-122.16996
Q692411,50.61750,4.18613
Q707004,49.29000,7.87500
Q720752,42.15000,2.51389
Q735475,47.07950,5.68268
Q760704,40.55079,-3.77426
Q787618,65.09242,-14.73301
Q833646,50.80694,4.37778
Q844301,34.87381,-77.00803
Q857705,49.02360,8.12805
Q870039,51.74778,6.01528
Q878515,53.93450,10.11330
Q881034,34.68830,-78.59440
Q908996,54.34030,-3.02361
Q919191,53.20447,-1.07276
Q923555,47.95161,24.30979
Q924045,48.01667,-2.16667
Q931881,47.81000,-123.06700
Q942222,45.22991,-109.73698
Q951806,44.53330,-107.35000
Q975644,31.80000,34.98333
Q1016235,50.36330,10.06530
Q1027602,42.62647,-72.37592
Q1089340,60.46139,-149.12611
Q1124284,50.87969,6.56511
Q1143464,-38.42900,176.57200
Q1145380,64.06234,-21.77708
Q1157441,51.43530,13.02600
Q1165341,44.33330,-123.91700
Q1258880,42.89806,19.60194
Q1267366,48.78280,9.31111
Q1293678,48.40196,2.66272
Q1332987,37.41670,-119.16700
Q1356828,-2.52822,29.27585
Q1362222,-3.93194,39.59611
Q1390044,55.91611,12.35750
Q1397614,0.26675,34.89439
Q1418263,60.50000,12.75000
Q1465883,-1.79079,29.45424
Q1474041,65.71728,-17.88730
Q1493217,53.59642,9.74631
Q1513403,49.66113,6.18111
Q1513780,52.35000,9.08333
Q1515785,-35.61452,173.55782
Q1529632,59.48913,12.41090
Q1541523,51.57500,6.89611
Q1554840,38.70324,-107.21670
Q1559835,51.53438,10.05129
Q1568946,53.61669,10.45000
Q1582233,54.21460,12.24070
Q1589833,50.08950,9.48120
Q1602409,53.21389,14.47500
Q1618461,52.08330,9.90000
Q1647964,36.56240,-118.75100
Q1649118,55.13666,15.06759
Q2118990,31.34250,35.06167
Q2130209,48.45780,9.00500
Q2175585,-12.98330,131.01700
Q2210872,51.96667,9.91306
Q2222918,50.76250,3.51280
Q2254551,49.61699,6.92696
Q2274801,50.81222,5.74861
Q2302755,49.38003,2.88340
Q2306658,52.57720,13.17780
Q2356147,57.17528,-3.81440
Q2358098,54.55000,13.63330
Q2375961,18.31667,-65.78333
Q2378158,51.17710,3.18732
Q2409158,50.95890,13.49720
Q2420880,50.49235,3.63167
Q2462206,55.93500,37.44667
Q2512290,49.68440,11.51920
Q2521895,-24.16667,-48.00000
Q2522338,51.27420,4.48610
Q2541063,49.17500,2.51250
Q2566540,50.80470,4.69600
Q2566939,44.10000,-71.40000
Q2591088,6.00000,11.00000
Q2616731,36.33333,2.00000
Q2642284,48.77417,32.54417
Q2647888,48.20610,11.47420
Q2663130,52.08780,4.32770
Q2664713,62.88796,34.67959
Q2717697,37.51389,-119.59833
Q2734907,41.19470,28.95140
Q2746705,36.51038,-106.07511
Q2777627,31.77194,35.16556
Q2896459,50.85167,2.98639
Q2898163,38.25028,-120.00028
Q2902972,32.99361,35.50694
Q2913503,-2.00000,114.00000
Q3016976,50.73333,2.88333
Q3052106,46.00000,-71.00000
Q3054213,45.00000,-79.00000
Q3078756,57.25000,-3.63333
Q3078757,49.78032,5.64458
Q3078764,49.73333,1.25000
Q3078774,49.15167,2.63944
Q3078775,50.02720,1.45917
Q3078778,45.55000,0.37500
Q3078780,49.24585,2.57097
Q3078792,48.00780,2.16087
Q3078795,43.00000,-1.08333
Q3078797,48.54490,0.06470
Q3078829,43.63333,1.25000
Q3078831,49.45000,0.71667
Q3078848,47.30000,6.06667
Q3078867,48.39360,-1.16360
Q12022178,32.77056,35.53556
Q12115573,47.93842,24.10958
Q12312881,54.69616,11.82695
Q12326206,56.10000,10.23330
Q12343428,55.38250,10.34120
Q12348734,6.51345,39.24716
Q12353823,17.55000,-100.30000
Q12635330,44.64417,15.65944
Q3078907,48.86667,2.03333
Q3078916,50.67444,2.56833
Q3078922,50.20000,3.73333
Q3078936,49.25930,3.09242
Q3078937,48.65000,1.83333
Q3078951,48.93949,2.09652
Q3078995,45.11670,0.16667
Q3079075,-21.13326,55.42491
Q3079091,42.71139,-101.03972
Q3079095,34.33330,-118.13300
Q3079099,31.26860,-94.41190
Q3079100,39.58860,-105.64300
Q3079101,44.37640,-120.11700
Q3079103,48.63028,-120.08000
Q3079107,45.60060,-112.78735
Q3079111,43.22250,-122.25400
Q3079113,46.23280,-113.96400
Q18922445,55.18000,20.86200
Q19899050,12.88168,77.52498
Q20396118,35.22062,-2.99671
Q12658049,55.31806,23.79028
Q12662245,55.15000,23.93333
Q13433037,52.21011,5.28251
Q13479748,54.66590,18.27090
Q13606270,52.79304,6.91678
Q14252595,50.77457,3.94039
Q3079114,35.86652,-83.06371
Q3079121,31.09830,-86.63830
Q3079126,34.73330,-89.13330
Q3079128,44.00000,-121.50000
Q3079140,35.23380,-83.55930
Q3079145,36.04000,-118.50400
Q3079149,41.72479,-123.84523
Q3079156,39.56250,-120.56200
Q3079157,33.19610,-86.46250
Q3079158,47.83000,-91.52472
Q3079161,32.47640,-85.60720
Q3079168,47.73528,-120.76194
Q3079170,34.22774,-87.32984
Q3079171,42.93740,-121.81400
Q3079173,44.10947,-122.18353
Q3079370,46.00000,-78.00000
Q3107151,44.76440,20.44110
Q3285041,34.10000,-6.60000
Q3290802,34.66670,-119.75100
Q3303402,54.27800,-0.65400
Q3364373,55.01030,-6.12056
Q3402775,51.38330,-1.68333
Q3411025,50.50000,23.00010
Q3569474,50.57780,-3.96139
Q3646797,-29.29833,30.23222
Q3676075,55.10000,15.08333
Q3752713,58.78333,14.63333
Q3820768,72.46667,102.25000
Q3822034,-15.33000,166.92000
Q3901887,46.02906,9.40208
Q3936486,34.31222,35.98500
Q4064297,31.74813,35.13332
Q4098398,53.00417,52.11528
Q4153186,46.87371,29.39017
Q4154079,53.83333,24.33333
Q4213857,54.47278,82.38972
Q4225661,60.00321,30.55340
Q4239674,61.64981,34.57428
Q4410694,48.15889,24.21611
Q4499355,49.13443,32.23879
