qid,lat,lon,sitelinks,iso
Q70,46.94798,7.44743,207,CH
Q71,46.20000,6.15000,200,CH
Q72,47.37444,8.54111,198,CH
Q78,47.56056,7.59056,150,CH
Q807,46.53333,6.63333,140,CH
Q1034,47.13722,7.24722,92,CH
Q15240,47.57333,7.68028,6,CH
Q15289,46.39125,7.85008,32,CH
Q15582,46.31639,7.96639,17,CH
Q15583,46.31592,7.98762,57,CH
Q16633,47.06722,9.43389,13,CH
Q16648,45.91667,8.95000,47,CH
Q4191,47.05230,8.30590,121,CH
Q4580,47.67460,9.12099,53,CH
Q5262,47.58056,7.64917,49,CH
Q7024,46.01028,8.96250,119,CH
Q7109,47.18083,8.31778,28,CH
Q7114,47.22500,8.26222,29,CH
Q7115,47.23306,8.23333,27,CH
Q7123,47.17417,8.10806,43,CH
Q7124,47.08361,8.12611,27,CH
Q7132,47.11361,8.09444,27,CH
Q7136,47.16722,8.06583,24,CH
Q7146,47.19972,8.20000,35,CH
Q7151,47.13278,8.19361,37,CH
Q9009,47.69653,8.63386,94,CH
Q9093,47.51889,8.54222,50,CH
Q9125,47.49920,8.72671,101,CH
Q11737,47.15278,7.40556,27,CH
Q11935,46.16639,8.79972,79,CH
Q11939,47.65944,8.85917,45,CH
Q11942,47.37645,8.54785,72,CH
Q13209,47.12556,7.24028,31,CH
Q66680,47.10875,7.39119,27,CH
Q66684,47.22528,8.95000,31,CH
Q66686,47.50970,7.92290,26,CH
Q66694,46.65140,9.42760,26,CH
Q66702,47.43306,7.53333,30,CH
Q66733,47.47250,7.75972,29,CH
Q66772,47.30250,7.79444,27,CH
Q66778,46.64972,7.43333,28,CH
Q66796,47.56667,8.56639,27,CH
Q66801,47.46194,7.91611,27,CH
Q66803,47.45083,7.94139,28,CH
Q66809,46.37333,9.12627,27,CH
Q66811,47.42556,7.89861,29,CH
Q66837,47.11528,7.11806,23,CH
Q66857,47.39470,9.08110,27,CH
Q66884,47.37194,8.00278,27,CH
Q66887,46.53333,7.08333,28,CH
Q66890,47.29580,9.53730,27,CH
Q66908,46.91333,7.93444,22,CH
Q66919,46.97209,7.23849,26,CH
Q14274,47.39230,8.04460,96,CH
Q14562,47.05611,8.10167,27,CH
Q14565,47.09694,8.37139,26,CH
Q14568,47.05500,8.42944,30,CH
Q14586,47.19972,7.96667,29,CH
Q14605,47.05833,7.91583,27,CH
Q14627,47.12056,7.99278,34,CH
Q22941,47.20419,7.54269,12,CH
Q25225,47.05163,8.30753,32,CH
Q25333,47.42570,7.12910,26,CH
Q25607,47.42333,9.37722,97,CH
Q29370,47.35193,7.90768,11,CH
Q30911,46.94667,7.44417,28,CH
Q69895,46.93333,7.16667,19,CH
Q69902,46.91667,7.15000,19,CH
Q69926,47.06639,7.23333,24,CH
Q69954,47.09280,9.34390,31,CH
Q69956,47.64528,8.91556,30,CH
Q69972,46.39639,6.92500,37,CH
Q69974,47.18333,7.10000,28,CH
Q69991,46.23333,8.83333,24,CH
Q70000,46.50040,7.20939,26,CH
Q70002,46.73583,6.76417,21,CH
Q70005,46.38333,6.90000,28,CH
Q70008,47.45750,7.44238,29,CH
Q70015,47.14694,7.47917,22,CH
Q70020,46.40000,8.90000,21,CH
Q70034,46.08333,7.16667,23,CH
Q70054,46.30194,7.70388,21,CH
Q70057,47.45111,7.67083,27,CH
Q70063,47.40000,7.25000,25,CH
