qid,lat,lon
Q1773,56.94750,24.10694
Q3415,43.61667,13.51667
Q3856,35.17250,33.36500
Q13375,43.71667,10.40000
Q22690,49.11972,6.17694
Q71279,54.03972,19.02778
Q80563,40.63333,14.60278
Q128089,41.21667,13.56667
Q146820,54.02846,19.04435
Q270968,44.20569,8.41615
Q1231790,38.87222,22.23944
Q4120832,54.71147,20.50931
Q198370,36.78306,118.04972
Q360584,32.89856,115.80447
Q365,50.94222,6.95778
Q586,50.73528,7.10222
Q1733,52.13159,11.63996
Q3138,49.75565,6.63935
Q53216,45.76667,13.36667
Q622379,-19.59306,20.50222
Q667155,23.28959,73.83823
Q864100,-17.50000,24.26667
Q1740681,-20.36667,14.96667
Q1848222,52.67056,-2.64750
Q6164139,32.48333,75.45000
Q7286391,22.30000,73.20028
Q7493270,28.60438,73.97942
Q7916174,23.42300,72.74700
Q39059546,26.05362,83.91853
Q628,45.69500,9.67000
Q1449,44.40722,8.93389
Q1792,54.34829,18.65402
Q1891,44.49389,11.34278
Q2742,51.96250,7.62556
Q3936,49.89167,10.89167
Q4190,48.57482,13.46097
Q6122,44.90000,8.20694
Q13373,43.85000,10.51667
Q13972,58.38000,26.72250
Q14945,51.35444,11.99278
Q18341,44.69154,8.02564
Q42793,45.36667,9.68333
Q108155,36.72889,68.85694
Q131350,36.21333,58.79583
Q154748,49.15972,5.38278
Q166667,58.38019,26.71500
Q181285,50.17583,3.23472
Q182159,36.75806,66.89889
Q185541,46.71655,11.65785
Q252772,48.89194,11.18389
Q413452,42.80000,75.26670
Q751123,54.11667,20.58333
Q1074347,57.15333,65.51556
Q2349614,42.21570,75.75550
Q4872110,40.04222,48.47083
Q33721822,46.07043,11.12074
Q1353,28.66667,77.21667
Q1799,51.11000,17.03250
Q1850,11.56958,104.92103
Q1960,-6.81611,39.28028
Q2214,57.81667,28.33333
Q2773,52.26917,10.52111
Q5684,32.52291,44.42415
Q5753,39.65472,66.97583
Q5764,39.77472,64.42861
Q17151,40.64028,22.93556
Q19689,41.32833,19.81806
Q36036,49.84250,24.03222
Q37112,17.33333,76.83333
Q40816,32.11667,20.06667
Q45313,34.34194,62.20306
Q45604,31.62068,65.71588
Q80053,38.07389,46.29611
Q80985,34.04333,-5.00333
Q129072,29.93500,52.89000
Q156090,5.93333,121.03333
Q158530,54.07417,-4.65389
Q165090,45.56639,5.92083
Q170115,34.09111,74.80611
Q173338,42.38944,18.92472
Q173474,43.07865,25.62829
Q180773,32.18944,48.25611
Q187136,34.65867,112.42447
Q188673,44.92444,25.45722
Q189685,7.18528,1.99139
Q196384,59.63333,56.76667
Q197934,60.40000,56.48333
Q200049,26.46800,74.63900
Q223308,40.70365,-74.01241
Q223517,19.08333,74.73333
