qid,tier,lat,lon,sitelinks,iso
Q3126126,market,46.11470,3.08768,0,FR
Q1646141,market,49.10540,10.98530,0,DE
Q9324475,market,50.71580,23.25250,0,PL
Q9324472,market,51.22410,20.85740,0,PL
Q9324473,market,50.81610,19.09560,0,PL
Q9324476,market,52.42190,16.97130,0,PL
Q9324491,market,49.73035,21.25017,0,PL
Q3126107,market,60.18003,24.95136,0,FI
Q3126116,market,48.11260,-1.68375,0,FR
Q3126122,market,45.82948,1.25670,0,FR
Q3126123,market,50.84798,4.34731,0,BE
Q3126121,market,49.26040,4.03200,0,FR
Q3126124,market,43.94820,4.81025,0,FR
Q1549766,market,48.22508,16.35519,0,AT
Q1564450,market,43.85885,18.43043,0,BA
Q1566076,market,43.85863,18.42792,0,BA
Q1605612,market,50.83530,12.91560,0,DE
Q1629577,market,45.50890,-73.55140,0,CA
Q9324494,market,52.53600,17.59590,0,PL
Q9324495,market,50.34690,18.92310,0,PL
Q9324493,market,49.82110,19.04250,0,PL
Q9324498,market,50.90470,18.93670,0,PL
Q9324499,market,49.44030,20.42830,0,PL
Q9324496,market,50.25920,19.02170,0,PL
Q9324497,market,50.87158,20.63143,0,PL
Q9324502,market,50.03828,19.22142,0,PL
Q9324503,market,50.47360,17.33280,0,PL
Q9324500,market,51.20780,16.16060,0,PL
Q9324506,market,50.09592,18.54207,0,PL
Q9324504,market,51.40297,21.14255,0,PL
Q9324505,market,50.09190,18.21970,0,PL
Q9324511,market,50.01240,20.98790,0,PL
Q9324508,market,50.03740,22.00460,0,PL
Q9324509,market,49.97510,19.82640,0,PL
Q9324514,market,50.00254,18.46238,0,PL
Q9324515,market,51.80940,21.89530,0,PL
Q9324518,market,52.39440,16.90170,0,PL
Q9324517,market,52.34420,14.55360,0,DE
Q9324520,market,52.41090,16.95390,0,PL
Q9344347,market,52.19360,18.63270,0,PL
Q9344351,market,52.66075,19.07294,0,PL
Q9344348,market,50.81220,19.12920,0,PL
Q10328758,market,-19.92250,-43.94306,0,BR
Q10328761,market,41.14199,-8.61487,0,PT
Q10328766,market,37.10412,-8.67316,0,PT
Q10328770,market,-22.90350,-47.06358,0,BR
Q10328774,market,-23.56557,-46.69255,0,BR
Q10328776,market,40.92452,-8.54375,0,PT
Q10328777,market,-23.64661,-46.70847,0,BR
Q10328788,market,39.74334,-8.80729,0,PT
Q10328794,market,-23.51929,-46.70181,0,BR
Q10328796,market,-20.32061,-40.34945,0,BR
Q10328802,market,38.71567,-9.12547,0,PT
Q10328807,market,41.15584,-8.62916,0,PT
Q10328805,market,41.14917,-8.60694,0,PT
Q10486798,market,22.49832,114.14306,0,CN
Q10522183,market,45.27350,-66.05980,0,CA
Q10570844,market,55.70167,13.19500,0,SE
Q10660796,market,57.70356,11.96787,0,SE
Q10660797,market,59.85917,17.63333,0,SE
Q10726161,market,60.44972,22.26611,0,FI
Q10748771,market,10.76670,106.69820,0,VN
Q10748778,market,10.74972,106.65583,0,VN
Q10748776,market,10.83556,106.65861,0,VN
Q10748787,market,10.75972,106.64389,0,VN
Q10748790,market,10.79444,106.66250,0,VN
Q10748793,market,10.78583,106.65250,0,VN
Q10748819,market,11.94295,108.43682,0,VN
Q10894370,market,36.71833,-4.42389,0,ES
Q11033321,market,53.79720,-1.53970,0,GB
Q11072186,market,22.28333,114.15096,0,CN
Q11264737,market,54.67390,25.28580,0,LT
Q11374970,market,34.96397,135.73184,0,JP
Q11374968,market,34.99298,135.74192,0,JP
Q11440203,market,34.61681,135.41467,0,JP
Q11535725,market,26.21725,127.69672,0,JP
Q11684594,market,43.31389,3.47028,0,FR
Q11692076,market,39.88774,-0.08179,0,ES
Q11708274,market,51.76260,18.08910,0,PL
Q11708404,market,51.10220,17.02440,0,PL
Q11708405,market,50.30092,18.95139,0,PL
Q11734333,market,53.49222,18.74889,0,PL
Q11780214,market,53.12137,18.00258,0,PL
Q11793918,market,53.12030,17.99780,0,PL
Q11819126,market,51.11123,17.03820,0,PL
Q11835436,market,50.44456,18.85547,0,PL
Q11839857,market,10.80139,106.69889,0,VN
Q11872858,market,60.46644,26.94597,0,FI
Q11873587,market,62.89222,27.67833,0,FI
Q11874371,market,60.98363,25.65624,0,FI
Q11886075,market,65.01306,25.46417,0,FI
Q11888675,market,61.48667,21.79722,0,FI
Q11888673,market,61.48570,21.79790,0,FI
Q11936513,market,41.11581,1.24891,0,ES
Q11936519,market,41.78060,3.02904,0,ES
Q11936517,market,41.44829,2.24751,0,ES
Q11936523,market,41.37501,2.14380,0,ES
Q11936521,market,41.91730,3.16476,0,ES
Q11936527,market,41.37480,2.12026,0,ES
Q11936531,market,41.36224,2.08359,0,ES
Q11936534,market,41.39972,2.15361,0,ES
Q11936532,market,39.57124,2.63824,0,ES
Q11936533,market,41.45006,2.21082,0,ES
Q11936536,market,41.40765,2.18872,0,ES
Q11936537,market,41.35860,2.09939,0,ES
Q12041284,market,49.35460,16.01570,0,CZ
Q12046916,market,50.09944,14.44556,0,CZ
Q12217410,market,31.21247,29.92540,0,EG
Q12255491,market,43.32344,-1.98276,0,ES
Q101583,market,25.72056,32.61028,0,EG
Q134762,market,29.55000,34.95000,0,IL
Q153430,market,60.39750,5.32333,0,NO
Q157341,market,52.75430,0.39760,0,GB
Q178617,market,50.11220,-96.93190,0,CA
Q190670,market,56.94400,24.11600,0,LV
Q190668,market,11.56958,104.92102,0,KH
Q191504,market,32.63833,14.29050,0,LY
Q195220,market,50.10944,8.70250,0,DE
Q195344,market,47.48669,19.05880,0,HU
Q203901,market,50.23134,12.85200,0,CZ
Q215429,market,50.84671,4.35254,0,BE
Q287522,market,45.23760,36.41727,0,RU
Q291219,market,46.43944,30.63889,0,UA
Q298475,market,59.33597,18.07808,0,SE
Q309282,market,30.78623,31.82253,0,EG
Q316814,market,51.96222,7.62806,0,DE
Q381038,market,30.96472,30.76833,0,EG
Q417645,market,48.19890,16.36360,0,AT
Q439730,market,47.78151,9.61487,0,DE
Q445923,market,51.51140,-0.09056,0,GB
Q505954,market,41.01058,28.96793,0,TR
Q515965,market,44.23333,-76.47861,0,CA
Q541933,market,60.16700,24.95500,0,FI
Q609820,market,52.15280,9.95170,0,DE
Q624174,market,35.86923,128.58042,0,KR
Q629659,market,29.30000,32.96667,0,EG
Q638440,market,49.03001,10.97461,0,DE
Q648038,market,13.75083,100.54139,0,TH
Q672913,market,34.01667,-91.34528,0,US
Q689727,market,49.88788,-97.13532,0,CA
Q755345,market,37.98041,23.72760,0,GR
Q770631,market,50.06167,19.93722,0,PL
Q776703,market,41.89716,12.50248,0,IT
Q847853,market,48.10028,-119.71889,0,US
