qid,tier,lat,lon,sitelinks,iso
Q1466798,pilgrimage_major,46.26205,9.14583,3,CH
Q1468711,pilgrimage_major,48.35810,10.99110,2,DE
Q1471027,pilgrimage_major,48.02360,9.95618,2,DE
Q11603428,pilgrimage_major,34.04782,133.84096,3,JP
Q9167758,pilgrimage_major,50.81250,19.09720,5,PL
Q9333602,pilgrimage_major,49.70748,19.35321,2,PL
Q9333605,pilgrimage_major,54.38797,18.08994,1,PL
Q9333615,pilgrimage_major,49.72341,19.02071,3,PL
Q9333626,pilgrimage_major,52.28063,19.32952,2,PL
Q9333624,pilgrimage_major,52.00859,19.81198,2,PL
Q9333628,pilgrimage_major,52.16313,20.37941,1,PL
Q9333633,pilgrimage_major,52.57330,21.58230,2,PL
Q9333637,pilgrimage_major,50.20360,19.51221,2,PL
Q9333643,pilgrimage_major,49.76006,20.37780,1,PL
Q9333646,pilgrimage_major,49.69690,19.27020,3,PL
Q9333655,pilgrimage_major,49.67056,21.29250,1,PL
Q9333652,pilgrimage_major,53.17810,17.96330,2,PL
Q9333653,pilgrimage_major,54.20720,16.22690,2,PL
Q9333682,pilgrimage_major,50.44338,22.29277,2,PL
Q9333680,pilgrimage_major,52.73506,15.21592,2,PL
Q9871038,pilgrimage_major,41.47417,-6.85635,1,PT
Q10273681,pilgrimage_major,40.79096,-7.16811,2,PT
Q10300581,pilgrimage_major,39.36646,-9.40308,2,PT
Q10368275,pilgrimage_major,-13.00981,-38.51024,2,BR
Q10368283,pilgrimage_major,-23.01265,-43.44520,2,BR
Q10368287,pilgrimage_major,41.29070,-8.21008,2,PT
Q10368299,pilgrimage_major,38.78102,-7.41558,2,PT
Q10368302,pilgrimage_major,39.60555,-8.62601,4,PT
Q10368300,pilgrimage_major,38.61677,-7.39735,3,PT
Q10368306,pilgrimage_major,41.97452,-8.22314,5,PT
Q10368309,pilgrimage_major,38.87026,-8.15353,2,PT
Q10368312,pilgrimage_major,41.58623,-8.28093,2,PT
Q10368313,pilgrimage_major,41.55724,-8.22252,2,PT
Q10368317,pilgrimage_major,41.48177,-8.25866,4,PT
Q10368320,pilgrimage_major,39.28260,-9.13538,2,PT
