qid,lat,lon
Q1623797,50.75910,7.98653
Q1623902,51.47520,9.76457
Q1628555,-41.87444,-72.43139
Q1630952,59.28472,116.58944
Q1631727,-14.16667,-169.61667
Q1632346,64.27259,-20.92160
Q1632630,64.06667,-21.21667
Q1637140,50.58207,7.32499
Q1638935,43.09181,15.46010
Q1639195,-1.46277,29.41682
Q1641276,-0.86119,-78.89729
Q1648022,38.40400,14.96200
Q1672337,-0.20000,36.06667
Q1672472,9.97917,-83.85250
Q1673747,13.65917,123.37333
Q1675325,55.67860,157.71800
Q1730511,48.57420,9.52300
Q1734040,50.34420,7.42333
Q1734831,52.17750,-175.50833
Q1738211,-8.77000,121.82000
Q1738398,49.37000,125.92000
Q1739281,64.65000,-19.25000
Q1751428,-1.52000,153.94000
Q1752422,-36.85700,174.77500
Q1752870,15.13340,-92.10580
Q1754806,35.89278,137.48028
Q1769276,-26.91833,-68.26306
Q1781665,-46.41639,52.25694
Q1783754,-16.82917,168.53611
Q1787964,49.35306,154.70528
Q1789130,51.98944,-176.58639
Q1790072,53.43000,-168.13000
Q1790653,-25.41667,-68.58333
Q1798916,50.62040,8.61697
Q1800511,13.42806,-88.10500
Q1808306,55.41667,-163.15000
Q1810012,52.89390,-170.05400
Q1812891,52.74975,-170.11917
Q1827535,-27.10532,-109.25505
Q1866016,50.85889,155.55722
Q1866824,64.91438,-22.58591
Q1869504,42.33333,126.50000
Q1869839,-16.83333,168.50000
Q1872082,-8.72000,121.78000
Q1880965,14.61250,-91.18917
Q1891390,-26.29860,-80.08330
Q1894467,-29.64000,209.90000
Q1896903,-19.77417,-66.47833
Q1945447,-49.60000,69.50000
Q1945827,18.78000,-110.95000
Q1950449,-38.10700,176.74000
Q1950728,-36.91833,174.81250
Q1950774,-36.82660,174.79900
Q1950800,53.13000,-168.69300
Q1952854,56.36667,159.03333
Q1964765,36.76194,139.49389
Q1980276,49.99670,6.94500
Q2003801,-8.28333,115.13333
Q2010059,54.28333,160.01667
Q2011834,-7.73250,112.57472
Q2017113,-38.12000,176.50000
Q2019666,0.95583,-77.88333
Q2025111,55.58333,158.38333
Q2044399,64.79611,-22.32083
Q2045381,50.30000,155.45000
Q2065108,40.44544,-121.55943
Q2072520,46.91667,151.95000
Q2073703,54.92000,160.63000
Q2080283,46.83167,151.75139
Q2080294,47.01111,152.11500
Q2087307,44.60833,146.99389
Q2091698,10.67278,-85.01500
Q2091943,58.40000,161.06667
Q2092383,28.26389,-16.66472
Q2105492,-8.79200,121.77000
Q2108921,2.10806,-76.59194
Q2118760,-36.88710,174.84700
Q2124774,-8.66000,35.30000
Q2133643,51.62140,10.52690
Q2144882,-10.12167,120.22500
Q2150879,40.22576,44.94726
Q2151346,55.03248,160.71639
Q2154758,45.17865,141.24192
Q2160644,50.25360,6.68111
Q2160928,50.64250,7.19833
Q2162588,1.13000,124.75800
Q2181214,-7.12500,107.80000
Q2229474,45.38389,148.81306
Q2256488,57.13333,160.40000
Q2264951,55.83333,157.75000
Q2269026,-52.32719,-73.37082
Q2282091,50.32167,155.46167
Q2301875,37.76033,-25.49156
Q2317058,57.80000,160.66667
Q2328794,-8.68000,120.48000
Q2332726,-2.31667,28.75000
Q1067452,11.53333,-85.61667
Q1083948,-6.30000,130.00000
Q1089657,-17.66667,-69.80000
Q1112205,53.59000,159.31470
Q1112255,53.63700,158.92200
Q1112273,51.30000,156.86667
Q1112372,51.57710,157.32810
Q1125445,39.35486,43.86703
Q1138683,34.72444,139.39472
Q1139121,51.78667,-178.80306
Q1139840,-40.96944,-72.26389
Q1140054,51.65000,157.35000
Q1140202,62.76000,236.47000
Q1141849,63.42930,-20.26010
Q1143300,0.30056,-78.36278
Q1143359,-20.21667,-160.16667
Q1146751,57.75100,-156.36800
Q1147502,0.35000,-90.50000
Q1156943,11.44583,-85.51500
Q1157658,43.65000,142.85000
Q1162021,13.31028,123.60000
Q1189330,61.29972,-152.25139
Q1189723,-14.28390,167.51700
Q1189752,-39.49706,-71.72330
Q1193964,59.36333,-153.43333
Q1195352,-0.60000,-90.65000
Q1200515,-35.58333,-70.75000
Q1249309,36.78333,12.00000
Q1267547,44.91111,4.19500
Q1288839,63.87766,-22.44816
Q1289764,50.61510,8.63465
Q1290651,50.51100,9.22700
Q1297541,-6.61417,142.82667
Q1301834,17.63500,-63.23917
Q1302768,38.12652,34.16511
Q1308814,50.19440,6.76083
Q1315012,64.80712,-23.77623
Q1316997,48.12931,22.55002
Q1319361,31.91667,130.86667
Q1320267,-18.71000,255.28000
Q1322653,52.55833,158.03333
Q1322666,-8.51667,124.13333
Q1324394,-27.05750,-68.48389
Q1324660,13.26556,-87.63778
Q1327687,14.46500,-90.74278
Q1330927,2.31417,-76.39417
Q1339167,37.16361,12.71861
Q1340711,-17.86667,-148.06667
Q1347484,-14.46394,168.03829
Q1360982,50.23040,6.76910
Q1361324,18.78444,-110.97500
Q1362432,50.21790,6.75280
Q1367704,64.25444,-16.53806
Q1373738,24.74903,141.28778
Q1374413,28.47333,-17.85167
Q1376373,0.03333,-91.33333
Q1377333,41.27900,141.12000
Q1411801,32.79972,35.45972
Q1413846,64.08556,-21.31361
Q1417843,13.75000,42.75000
Q1419053,36.39800,25.37863
Q1420308,-22.84639,-67.82444
Q1422715,-36.78674,174.86012
Q1424776,50.39680,7.20464
Q1424979,-0.39658,-91.10910
